feature,importance
thal,0.11834171314814301
ca,0.10774932427191199
thalach,0.0999398568430846
oldpeak,0.08362317896474784
cp_4,0.08067194629230795
chol,0.07923318886719337
age,0.07651535241003833
trestbps,0.07106959543419179
exang_1,0.03952345485541902
exang_0,0.03368878042145761
slope_1,0.029723777352004533
sex_1,0.028786310517216796
slope_2,0.02763830499959249
sex_0,0.024369131394018834
cp_3,0.019552192207640512
restecg_2,0.015925973626764973
restecg_0,0.015477190400975147
cp_2,0.013848922721904647
cp_1,0.01358711445949255
fbs_1,0.008811165381437771
fbs_0,0.006765965394506545
slope_3,0.004853585454386492
restecg_1,0.00030397458156328845
